ID,PA,PB,PC,PD,PE,PF,PG
PR40001,1212,1212,1212,1212,1212,1212,1212
PR40002,1212,1212,1212,1212,1212,1212,1212
PR40003,1212,1212,1212,1212,1212,1212,1212
PR40004,1212,1212,1212,1212,1212,1212,1212
PR40005,1212,1212,1212,1212,1212,1212,1212
PR40006,1212,1212,1212,1212,1212,1212,1212
PR40007,1212,1212,1212,1212,1212,1212,1212
PR40008,1212,1212,1212,1212,1212,1212,1212
PR40009,1212,1212,1212,1212,1212,1212,1212
PR40010,1212,1212,1212,1212,1212,1212,1212
PR40011,1212,1212,1212,1212,1212,1212,1212
PR40012,1212,1212,1212,1212,1212,1212,1212
PR40013,1212,1212,1212,1212,1212,1212,1212
PR40014,1212,1212,1212,1212,1212,1212,1212
PR40015,1212,1212,1212,1212,1212,1212,1212
PR40016,1212,1212,1212,1212,1212,1212,1212
PR40017,1212,1212,1212,1212,1212,1212,1212
PR40018,1212,1212,1212,1212,1212,1212,1212
PR40019,1212,1212,1212,1212,1212,1212,1212
PR40020,1212,1212,1212,1212,1212,1212,1212
PR40021,1212,1212,1212,1212,1212,1212,1212
PR40022,1212,1212,1212,1212,1212,1212,1212
PR40023,1212,1212,1212,1212,1212,1212,1212
PR40024,1212,1212,1212,1212,1212,1212,1212
PR40025,1212,1212,1212,1212,1212,1212,1212
PR40026,1212,1212,1212,1212,1212,1212,1212
PR40027,1212,1212,1212,1212,1212,1212,1212
PR40028,1212,1212,1212,1212,1212,1212,1212
PR40029,1212,1212,1212,1212,1212,1212,1212
PR40030,1212,1212,1212,1212,1212,1212,1212
PR40031,1212,1212,1212,1212,1212,1212,1212
PR40032,1212,1212,1212,1212,1212,1212,1212
PR40033,1212,1212,1212,1212,1212,1212,1212
PR40034,1212,1212,1212,1212,1212,1212,1212
PR40035,1212,1212,1212,1212,1212,1212,1212
PR40036,1212,1212,1212,1212,1212,1212,1212
PR40037,1212,1212,1212,1212,1212,1212,1212
PR40038,1212,1212,1212,1212,1212,1212,1212
PR40039,1212,1212,1212,1212,1212,1212,1212
PR40040,1212,1212,1212,1212,1212,1212,1212
PR40041,1212,1212,1212,1212,1212,1212,1212
PR40042,1212,1212,1212,1212,1212,1212,1212
PR40043,1212,1212,1212,1212,1212,1212,1212
PR40044,1212,1212,1212,1212,1212,1212,1212
PR40045,1212,1212,1212,1212,1212,1212,1212
PR40046,1212,1212,1212,1212,1212,1212,1212
PR40047,1212,1212,1212,1212,1212,1212,1212
PR40048,1212,1212,1212,1212,1212,1212,1212
PR40049,1212,1212,1212,1212,1212,1212,1212
